Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/1/2021 22:00,0,Out of BH,44,0,57,44,9,0,4,0,2,3,0,0,,,2,0,,0,
1/1/2021 22:30,0,Out of BH,45,0,58,45,1,0,0,0,1,0,0,,,,0,0,,0,
1/1/2021 22:30,0,Out of BH,45,0,59,45,1,0,1,0,0,0,0,0,,,0,0,,0,
1/1/2021 23:00,0,Out of BH,46,0,60,46,4,0,1,0,2,1,0,0,,,1,0,,0,
1/1/2021 23:30,0,Out of BH,47,0,61,47,4,0,1,0,2,1,0,0,,,1,0,,0,
1/2/2021 0:00,0,Out of BH,0,0,62,0,12,0,2,0,4,6,0,0,,,4,0,,0,
1/2/2021 0:00,0,Out of BH,0,0,63,0,4,0,0,0,4,0,0,,,,0,0,,0,
1/2/2021 0:30,0,Out of BH,1,0,64,1,4,0,0,0,1,3,0,0,,,2,0,,0,
1/2/2021 0:30,0,Out of BH,1,0,65,1,2,0,0,0,2,0,0,,,,0,0,,0,
1/2/2021 1:00,0,Out of BH,2,0,66,2,2,0,0,0,1,1,0,0,,,1,0,,0,
1/2/2021 2:00,0,Out of BH,4,0,67,4,2,0,0,0,1,1,0,0,,,1,0,,0,
1/2/2021 2:30,0,Out of BH,5,0,68,5,2,0,0,0,1,1,0,,,,0,0,,0,
1/2/2021 6:30,0,Out of BH,13,0,69,13,3,0,1,0,1,1,0,0,,,1,0,,0,
1/2/2021 6:30,0,Out of BH,13,0,70,13,1,0,0,0,1,0,0,,,,0,0,,0,
1/2/2021 7:00,0,Out of BH,14,0,71,14,8,0,0,0,4,4,0,0,,,4,0,,0,
1/2/2021 7:30,0,Out of BH,15,0,72,15,2,0,0,0,1,1,0,0,,,1,0,,0,
1/2/2021 8:00,0,Business Hours,16,0,73,16,26,0,1,0,11,14,0,0,,,12,0,,0,
1/2/2021 8:00,0,Business Hours,16,0,74,16,4,0,0,0,4,0,0,,,,0,0,,0,
